crude	EX-ARCO <ARC> CHIEF SEES ENERGY CRISIS BY 1990 Dwindling global crude oil reserves and the lack of any major new discoveries in recent years will send the world into an energy crisis by 1990, the former Atlantic Richfield Co chairman Robert O. Anderson said. "It's going to come sooner than anyone thinks," Anderson told reporters after addressing a Houston business lunch. "I believe we're going to see a change in the world oil markets in two to three years because oil is becoming harder to find." Anderson, who retired from Arco last year to form Hondo Oil and Gas Co, said world oil consumption is approaching 60 mln barrels a day but a current excess capacity cushion of about 4.5 mln barrels a day will rapidly disappear. "If you looked around the world, you could not scrape up one mln barrels a day in shut-in production outside the Middle East," he said. "We're soon going to be right back where we were in 1973 and 1979." Anderson predicted that world oil prices would end 1987 at about 24 dlrs a barrel and continue a gradual climb. "There's no way prices can stay flat because there isn't enough supply," he said. "There have been no major oil discoveries for the past 15 to 20 years." Alaska's Prudhoe Bay oil reserves, the last major world discovery, has already produced about five billion barrels of oil or more than half of its estimated reserves, he said. Reuter
ship	FERRY DISASTER CLAIMS COULD TOP 30 MLN STG U.K. Insurers could face more than 30 mln stg of insurance claims following the Zeebrugge ferry disaster, a spokesman for Lloyds of London said. It could take weeks before the extent of the compensation claims for passengers, crew and cargo was known and also before it was known how much, if any, of the ship could be salvaged, said David Larner of Lloyds. The hull and machinery of the Herald of Free Enterprise were valued at 25 mln stg and were insured by Townsend Thoresen's parent company Peninsular and Oriental Steam Navigation Co Plc <PORL.L>. The vessel was in turn reinsured in the London market with Lloyds and various other companies, Larner said. Passengers, crew and cargo were insured by the Standard Steamship Protection and Indemnity Association, one of several shipowners' mutual insurance funds worldwide. These were also underwritten by Lloyds and other companies. Larner said claims from passengers could be expected to total at least five mln stg, given the number of deaths and the normal level of liability set by the Athens Convention of 1974 of between 30,000 stg and 50,000 in case of death. Shipping sources said, however, that these claims could soar if a court found there was negligence or design faults involved. Larner said estimates of compensation claims "were pure guess work" at this time. But if the ship could not be salvaged, the claims would total at least 30 mln stg. Shares of insurances on the London stock exchange fell across the board in a generally weak market. General Accident fell 21p to 936, Royal Insurance dropped 18p to 966 and Prudential fell 9p to 888. P and O shares stood at a late 616, 27p lower on the day. REUTER
crude	TEXACO <TX> SAYS SOME OIL FLOWS RE-ESTABLISHED Texaco Inc has re-established some key oil supply lines following yesterday's court filing for protection under Chapter 11 of the U.S. bankrupcty code, said Elton Yates, Texaco's coordinator of worldwide operations. "Several companies say they are willing to start trading," Yates told Reuters in an interview. The company last week had stated that a number of domestic and international oil suppliers were demanding cash for oil shipments, and in some cases, had cut supplies altogether. Banks had also cut credit lines, it said in court filings. Manufacturers Hanover Corp <MHC> and other banks told Texaco it would cut off a one billion dlr credit line, Texaco said in the court filing. Chase Manhattan Corp <CMB> and J.P. Morgan Co's <JPM> Morgan Guaranty Trust Co asked for deposits to cover transactions, it said. The severe conditions with suppliers and creditors arose from an unfavorable ruling last Monday by the U.S. Supreme Court in Texaco's ongoing dispute with Pennzoil Co <PZL> over the acquisition of Getty Oil Co in 1984. The High Court said Texas Courts must consider Texaco's plea to cut its 10.3 billion dlr bond while appealing the case. "Most of the suppliers stayed with us as long as they could," Elton said. But following Monday's Supreme Court ruling, Texaco's suppliers began demanding cash and halting supplies. "It wasn't until last Wednesday that it turned into an avalanche," he said. "Supplies were cut to the point where we could not run the system at anywhere near capacity." He said less than half of Texaco's oil supplies had been in jeapordy, but the cut off would have produced severe shortages by mid-May. Now the situation appears much less severe, Elton said. It said that Sonatrach, the Algerian national oil company, canceled future deliveries of crude oil and natural gas, Occidental Petroleum Co <OXY> demanded cash for crude, and Atlantic Richfield Co <ARC> asked for special safeguards. The company also said British Petroleum Co PLC <BP> last week refused to accept an order for fuel oil. But Yates today said, "a big U.K. company has in fact said they would go on supplying. They had cancelled last week." He declined to identify the company. <Petroleos de Venezuela S.A.>, the Venezuelan state oil company that supplies a large portion of Texaco's oil, also halted shipments two weeks ago, Yates said. But he added that Texaco expected to meet with the Venezuelans later today in an attempt to reestablish that key supply line. Talks were also expected to take place with the Algerians, he added. Bankruptcy specialists said it was likely Texaco's chapter 11 filing would allow the company to secure its credit lines and oil supplies that are key to the company's business. "It will be business as usual for Texaco," said Martin Klein, a bankruptcy attorney at the New York law firm Dreyer and Traub. "Creditors are a nervous bunch of people," he said. "But when the dust settles they will reevaluate the situation and will likely extend credit to the chapter 11 company." But other officials at Texaco were not immediately available to say whether discussions were being held with its banks, or whether credit lines had been reestablished. Reuter
grain, wheat	TUNISIA BUYS 150,000 TONNES FRENCH WHEAT Tunisia has bought 150,000 tonnes of French soft wheat for August to December shipment at 76.70 dlrs per tonne fob with COFACE export credit, trade sources said. This is the second French soft wheat export sale for the 1987/88 season which starts on July 1 and follows a Brazilian purchase of 150,000 tonnes. France sold around 300,000 tonnes of soft wheat to Tunisia during the 1986/87 season. Reuter
money-fx	U.K. MONEY MARKET DEFICIT REVISED DOWNWARD The Bank of England said it has revised its estimate of today's shortfall to 350 mln stg from 400 mln, before taking account of 103 mln stg morning assistance. REUTER
dlr, money-fx	swiss national bank says bought dollars against yen
interest, money-fx	BANK OF SPAIN SUSPENDS ASSISTANCE, DRAINS FUNDS The Bank of Spain suspended its daily money market assistance and offered to drain funds with three- and seven-day repurchase agreements at 12-1/2 pct, money market sources said. The sources said the measures were a further attempt to rein in money supply and were likely to force some institutions to scramble for funds before the 10-day accounting period for reserve requirements closes on Monday. The bank, which raised its rate for ordinary overnight assistance to 13-3/4 from 13-1/2 pct on Wednesday, opened its special borrowing facility for overnight funds at 14-1/2 pct. Money market sources said institutions in need of funds were likely to have to return to the bank tomorrow for further assistance. The bank rarely invites applications for ordinary assistance on a Saturday and the sources said it was more likely to open its special borrowing facility again. REUTER
corn, grain	U.S. HOUSE PANEL VOTES TO SPEED UP CORN PAYMENTS The House Agriculture Committee voted to make approximately 2.8 billion dlrs of feedgrains deficiency payments immediately instead of in the late fall. A similar measure was decisively defeated on the Senate floor last week. The bill, which passed by a voice vote, would allow so-called Findley payments to be made immediately rather than late this year. Payments for 1987-90 feedgrains crops would not be changed. Because the bill would move 2.8 billion dlrs of spending into fiscal 1987 from fiscal 1988, the measure is expected to meet stiff resistance in the full House. Reuter
money-fx	U.K. MONEY MARKET OFFERED EARLY ASSISTANCE The Bank of England said it had invited an early round of bill offers from the discount houses after forecasting a very large shortage of around 1.75 billion stg in the money market today. MORE
grain, wheat	U.S. EXPORTERS REPORT 120,000 TONNES WHEAT PURCHASED FROM FOREIGN SELLERS FOR 1987/88
