crude	GHANA TO BUY CRUDE OIL FROM IRAN Ghana will import 15,000 tonnes of crude oil annually from Iran under an agreement reached in Tehran today, the Iranian news agency IRNA reported. The agency, received in London, said the accord was reached between Iranian Oil Minister Gholamreza Aqazadeh and a visiting Ghanaian delegation headed by Foreign Minister Obed Asamoah. IRNA said that under the agreement, Iran will also provide technical and scientific assistance in manpower training and oil exploitation, production and refining. Reuter
sugar	DANISH SUGAR BEET PLANTING BEHIND SCHEDULE Sugar beet planting in Denmark is about two weeks behind normal due to a severe winter and a wet spring, a spokesman for the country's largest sugar beet concern, De Danske Sukkerfabrikker A/S, said. The weather has improved recently but very little beet has been drilled so far. "If good weather conditions continue, I think we will be sowing next week or the following week," the spokesman said. Reuter
ship	RIO DE JANEIRO DOCKERS STRIKE Rio de Janeiro's 3,500 dockworkers went on strike for an indefinite period today to demand wage increases, a spokesman for the dockers said. The Rio dockers did not get support from their colleagues in Santos, Brazil's main port, but the spokesman said they would not return to work unless their demands were met. Earlier this week, some 65,000 dockworkers cancelled a scheduled national strike to pressure port officials to give them a wage increase and other benefits. A Rio port spokesman said the halt would cause daily losses of about 100,000 U.S. Dlrs. Reuter
trade	NAKASONE HOPES U.S. VISIT WILL HELP END TRADE ROW Prime Minister Yasuhiro Nakasone said he hopes his visit to Washington later this week will help resolve Japan's severe trade problems with the United States. Nakasone leaves on his sixth official visit to the United States on Wednesday, only weeks after President Reagan imposed punitive tariffs of 300 mln dlrs a year on Japanese electronic goods for alleged violation of a semiconductor pact. Japan also faces more possible sanctions amid calls in the U.S. Congress for further action to help improve trade imbalances. Japan's trade surplus with the United States reached a record 58.6 billion dlrs in 1986. Nakasone told reporters that special envoy Shintaro Abe, who has just returned from Washington, told him protectionist sentiment in the United States is severe. "We are well aware of a movement in the United States to enact legislation," Nakasone said. He said friends at home and abroad have advised him not to go to the United States but it is now more important than ever that he express Japan's view and carefully listens to the views of the United States. "My visit to the United States at this time will be the most important visit of all," Nakasone said. While in Washington, he said he hopes to have candid and frank discussions with President Reagan and Congressionl leaders. He said he plans to discuss exchange rate stability, economic cooperation to developing countries and U.S.-Soviet disarmament and arms control. On the recently imposed trade sactions, Nakasone said he would present evidence that Japanese semiconductor imports are increasing and that Japan is monitoring exports to third countries. "We have full confidence we can present clear evidence," he said. "(Therefore), we will request that the sanctions be lifted at the earliest possible time." On the trade imbalance, Nakasone said Japan has already taken action. The volume of exports to the United States has been cut, while U.S. Imports have increased. But Japanese imports from Europe and other Asian nations have recently surged, those from the United States remain weak, indicating a lack of U.S. Competitiveness, he said. Nakasone said Japan will continue to strive to improve the trade imbalance but the United States will have to become more competitive and improve its huge budget deficit. He said he will also discuss the forthcoming Venice summit of the seven major industrial nations in June. "We can further enhance the efforts for improving peace, disarmament and the world economies as a whole through solidarity," Nakasone said. REUTER
money-fx	LAWSON SAYS U.K. ELECTION NOT ONLY EMS BAR British Chancellor of the Exchequer Nigel Lawson said the next U.K. Election was not the only element standing in the way of full British membership of the European Monetary System (EMS). But he added that arguments against joining had weakened. Prime Minister Margaret Thatcher, widely believed to be the strongest government opponent of full EMS membership, has made clear she does not expect to consider joining until after the next UK election, due by mid-1988 at the latest. But Lawson, in answer to a question, told reporters after an informal European Community finance ministers' meeting here that other factors apart from the upcoming election stood in the way of full membership. In addition to the question of the exchange rates at which Britain should enter the EMS's core exchange rate mechanism, there was also the impact of sterling membership on the system to be considered, he said. British entry would change the EMS from a monopolar system based on the West German mark to a bipolar mark-sterling system, he noted. "We have to make sure it would work." But Lawson added that some of the considerations that had made it difficult for Britain to join in the past now posed less of a problem. As an example he cited sterling's role as a petrocurrency, which he said was diminishing. "That argument has clearly weakened," he said. Lawson restated that the government was keeping the question of membership under review. REUTER
crude	MARATHON RAISED CRUDE POSTED PRICES BY 50 CTS A BARREL EFFECTIVE OCTOBER 16.
trade	YEUTTER SEES GATT CONSENSUS ON FARM TRADE REFORM U.S. Trade Representative Clayton Yeutter said trade ministers meeting here have reached a general consensus on agricultural trade reform under the latest Uruguay round of the General Agreement on Tariffs and Trade (GATT). Yeutter gave no precise details of the understanding but told journalists the consensus covers the principles involved in agricultural trade reform and what needs to be done to improve the global situation in agriculture. Delegates from 22 countries are meeting informally to discuss progress made since the latest GATT round was launched in Punta del Este, Uruguay, last September. Yeutter said "at least people seem to be going down the same road...But how that translates ultimately into negotiations is another matter entirely." There seems to be an understanding of the need to deal with the problem quickly and "a more common understanding of how we are going to get from here to there," Yeutter said. However, the hard work is still to come, with a couple of years of tough negotiations ahead, he said. "It is ludicrous for the nations of the world to plough immense amounts of financial resources into the production of items that nobody wants to buy," he said. He said the long-term answer is to switch some of the financial resources now committed to agriculture to other more productive areas. This would help agriculture because some its inefficient non-productive segments would stop operating, he said. Individual segments in many countries may lose in the process, but it should result in a more rational system of world-wide production within 10 or 15 years, he said. It is important that the agriculture negotiations reach a relatively early conclusion because the U.S. Is spending 26 billion dlrs a year and the European Community probably more than that, which is an ineffective use of financial resources, he said. Asked about the prospect of a priority for agriculture in the negotiations, he said "one has to be politically realistic... If there is any chance of getting it (agricultural trade reform) done in two to three years it's going to have to be as part of a larger package." REUTER
crude	SOUTHLAND <SLC> UNIT RAISES CRUDE OIL PRICES Citgo Petroleum Corp, a subsidiary of Southland Corp, said it raised the contract price it will pay for all grades of crude oil by 50 cts a barrel, effective Oct 16 The increase brings Citgo's postings for the West Texas Intermediate and West Texas Sour grades to 19.00 dlrs/barrel, while Light Louisiana SWeet is now priced at 19.35 dlrs. Citgo last changed it crude oil postings on Sept 9. Reuter
money-fx	TREASURY'S BAKER SAYS HE STANDS BY PARIS PACT TO FOSTER STABLE CURRENCIES
interest	MORE U.S. BANKS JOIN IN PRIME RATE CUT Chemical Bank, the main bank subsidiary of Chemical New York Corp, and Marine Midland Banks Inc said they were raising the prime lending rate to 7-3/4 pct from 7-1/2 pct, effective immediately. In St Louis, Mercantile Bancorp said its Mercantile Bank N.A. was also raising its prime rate to 7-3/4 pct from 7-1/2 pct, effective immediately. The changes follow similar cuts yesterday by Citicorp and Chase Manhattan. Reuter
